LATITUDE,LONGITUDE,UTM_X,UTM_Y,UTM_ZONE,DATE,TIME,SATELLITE,CONFIDENCE,ORG,TUMBOON,AUMPER,PROVINCE,NAME,ZONE 
12.928,101.54,775602,1430541,47P,17/02/2019,1045,T,38,NASA,พลงตาเอี่ยม,วังจันทร์,ระยอง,เกษตรกรรม,AGI
13.612,101.907,814570,1506695,47P,17/02/2019,1045,T,75,NASA,วังท่าช้าง,กบินทร์บุรี,ปราจีนบุรี,เกษตรกรรม,AGI
13.761,101.322,751073,1522505,47P,17/02/2019,1045,T,59,NASA,พนมสารคาม,พนมสารคาม,ฉะเชิงเทรา,เกษตรกรรม,AGI
14.145,101.6,780684,1565320,47P,17/02/2019,1045,T,66,NASA,คำโตนด,ประจันตคาม,ปราจีนบุรี,เกษตรกรรม,AGI
14.281,99.719,577552,1578924,47P,17/02/2019,1045,T,70,NASA,ดอนแสลบ,ห้วยกระเจา,กาญจนบุรี,เกษตรกรรม,AGI
16.089,99.55,558820,1778858,47Q,17/02/2019,1045,T,58,NASA,วังหามแห,ขาณุวรลักษบุรี,กำแพงเพชร,เกษตรกรรม,AGI
14.461,102.712,253360,1599942,48P,17/02/2019,1045,T,71,NASA,ปะคำ,ปะคำ,บุรีรัมย์,เกษตรกรรม,AGI
14.462,102.703,252390,1600062,48P,17/02/2019,1045,T,69,NASA,ปะคำ,ปะคำ,บุรีรัมย์,เกษตรกรรม,AGI
14.687,102.237,202428,1625527,48P,17/02/2019,1045,T,74,NASA,ท่าเยี่ยม,โชคชัย,นครราชสีมา,เกษตรกรรม,AGI
14.718,103.886,380075,1627432,48P,17/02/2019,1045,T,53,NASA,ขอนแตก,สังขะ,สุรินทร์,เกษตรกรรม,AGI
15.06,103.33,320491,1665642,48P,17/02/2019,1045,T,72,NASA,ห้วยสำราญ,กระสัง,บุรีรัมย์,เกษตรกรรม,AGI
15.061,103.321,319524,1665760,48P,17/02/2019,1045,T,94,NASA,ห้วยสำราญ,กระสัง,บุรีรัมย์,เกษตรกรรม,AGI
15.162,104.415,437155,1676328,48P,17/02/2019,1045,T,0,NASA,ลิ้นฟ้า,ยางชุมน้อย,ศรีสะเกษ,เกษตรกรรม,AGI
15.163,104.406,436188,1676441,48P,17/02/2019,1045,T,0,NASA,ลิ้นฟ้า,ยางชุมน้อย,ศรีสะเกษ,เกษตรกรรม,AGI
15.185,102.742,257404,1680041,48P,17/02/2019,1045,T,83,NASA,สาหร่าย,ชุมพวง,นครราชสีมา,เกษตรกรรม,AGI
15.186,102.733,256437,1680161,48P,17/02/2019,1045,T,66,NASA,สาหร่าย,ชุมพวง,นครราชสีมา,เกษตรกรรม,AGI
15.273,105.282,530278,1688541,48P,17/02/2019,1045,T,64,NASA,ทรายมูล,พิบูลมังสาหาร,อุบลราชธานี,เกษตรกรรม,AGI
15.44,103.622,352150,1707466,48P,17/02/2019,1045,T,29,NASA,ทุ่งกุลา,ท่าตูม,สุรินทร์,เกษตรกรรม,AGI
15.493,104.245,419019,1712998,48P,17/02/2019,1045,T,43,NASA,ฟ้าหยาด,มหาชนะชัย,ยโสธร,เกษตรกรรม,AGI
15.499,104.252,419772,1713659,48P,17/02/2019,1045,T,84,NASA,ฟ้าหยาด,มหาชนะชัย,ยโสธร,เกษตรกรรม,AGI
15.501,104.242,418700,1713884,48P,17/02/2019,1045,T,75,NASA,ฟ้าหยาด,มหาชนะชัย,ยโสธร,เกษตรกรรม,AGI
15.528,103.652,355430,1717182,48P,17/02/2019,1045,T,72,NASA,ดงครั่งน้อย,เกษตรวิสัย,ร้อยเอ็ด,เกษตรกรรม,AGI
15.544,103.79,370242,1718863,48P,17/02/2019,1045,T,38,NASA,สระคู,สุวรรณภูมิ,ร้อยเอ็ด,เกษตรกรรม,AGI
15.549,102.832,267481,1720229,48P,17/02/2019,1045,T,75,NASA,หนองเยือง,บ้านใหม่ไชยพจน์,บุรีรัมย์,เกษตรกรรม,AGI
15.558,102.834,267706,1721223,48P,17/02/2019,1045,T,76,NASA,หนองเยือง,บ้านใหม่ไชยพจน์,บุรีรัมย์,เกษตรกรรม,AGI
15.662,103.497,338908,1732119,48P,17/02/2019,1045,T,88,NASA,น้ำอ้อม,เกษตรวิสัย,ร้อยเอ็ด,เกษตรกรรม,AGI
15.665,103.661,356491,1732333,48P,17/02/2019,1045,T,68,NASA,เกษตรวิสัย,เกษตรวิสัย,ร้อยเอ็ด,เกษตรกรรม,AGI
15.671,103.498,339022,1733114,48P,17/02/2019,1045,T,73,NASA,น้ำอ้อม,เกษตรวิสัย,ร้อยเอ็ด,เกษตรกรรม,AGI
15.734,103.629,353110,1739989,48P,17/02/2019,1045,T,69,NASA,หนองแวง,เกษตรวิสัย,ร้อยเอ็ด,เกษตรกรรม,AGI
15.99,102.969,282650,1768891,48P,17/02/2019,1045,T,75,NASA,เลิงแฝก,กุดรัง,มหาสารคาม,เกษตรกรรม,AGI
15.992,102.96,281689,1769122,48P,17/02/2019,1045,T,65,NASA,เลิงแฝก,กุดรัง,มหาสารคาม,เกษตรกรรม,AGI
16.083,102.839,268840,1779324,48Q,17/02/2019,1045,T,58,NASA,ภูเหล็ก,บ้านไผ่,ขอนแก่น,เกษตรกรรม,AGI
16.256,103.837,375721,1797606,48Q,17/02/2019,1045,T,59,NASA,อุ่มเม่า,โพนทอง,ร้อยเอ็ด,เกษตรกรรม,AGI
